Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA10,RSI,MACD,MACD_Signal,BOLL_MA,BOLL_Upper,BOLL_Lower,ROC,MTM1,MTM3
2015-03-02,2105.22998046875,2117.52001953125,2104.5,2117.389892578125,3409490000,0.0,0.0,,,,0.0,0.0,,,,,,
2015-03-03,2115.760009765625,2115.760009765625,2098.260009765625,2107.780029296875,3262300000,0.0,0.0,,,0.0,-0.7665987802706695,-0.15331975605413392,,,,,-9.60986328125,
2015-03-04,2107.719970703125,2107.719970703125,2094.489990234375,2098.530029296875,3421110000,0.0,0.0,,,0.0,-2.096365929710373,-0.5419289907853818,,,,,-9.25,
2015-03-05,2098.5400390625,2104.25,2095.219970703125,2101.0400390625,3103030000,0.0,0.0,,,1.9747673645182289,-2.9140873796804954,-1.0163606685644047,,,,,2.510009765625,-16.349853515625
2015-03-06,2100.909912109375,2100.909912109375,2067.27001953125,2071.260009765625,3853570000,0.0,0.0,2099.2,,1.5768881705888447,-5.89715823305869,-1.9925201814632618,,,,,-29.780029296875,-36.52001953125
2015-03-09,2072.25,2083.489990234375,2072.2099609375,2079.429931640625,3349090000,0.0,0.0,2091.6080078125,,7.106541280987258,-7.51538626510046,-3.097093398190702,,,,,8.169921875,-19.10009765625
2015-03-10,2076.139892578125,2076.139892578125,2044.1600341796875,2044.1600341796875,3668900000,0.0,0.0,2078.8840087890626,,5.634749465154584,-11.511136386631733,-4.779901995878909,,,,,-35.2698974609375,-56.8800048828125
2015-03-11,2044.68994140625,2050.080078125,2039.68994140625,2040.239990234375,3406570000,0.0,0.0,2067.2260009765623,,5.4984482693789545,-14.823238860543825,-6.788569368811892,,,,,-3.9200439453125,-31.02001953125
2015-03-12,2041.0999755859375,2066.409912109375,2041.0999755859375,2065.949951171875,3405860000,0.0,0.0,2060.2079833984376,,19.28822183176665,-15.198328087420578,-8.470521112533628,,,,,25.7099609375,-13.47998046875
2015-03-13,2064.56005859375,2064.56005859375,2041.1700439453125,2053.39990234375,3498560000,0.0,0.0,2056.6359619140626,2077.9179809570314,17.914051124890648,-16.320144589496977,-10.040445807926298,,,,,-12.550048828125,9.2398681640625
2015-03-16,2055.35009765625,2081.409912109375,2055.35009765625,2081.18994140625,3295600000,0.0,0.0,2056.9879638671873,2074.297985839844,29.83468615430988,-14.796206885688207,-10.99159802347868,,,,-1.7096497578817704,27.7900390625,40.949951171875
2015-03-17,2080.590087890625,2080.590087890625,2065.080078125,2074.280029296875,3221840000,0.0,0.0,2063.011962890625,2070.9479858398436,28.717946345091548,-13.98483891694832,-11.59024620217261,,,,-1.5893499100650965,-6.909912109375,8.330078125
2015-03-18,2072.840087890625,2106.85009765625,2061.22998046875,2099.5,4128210000,0.0,0.0,2074.86396484375,2071.0449829101562,37.86027058597216,-11.17793086350457,-11.507783134439002,,,,0.04622143546118007,25.219970703125,46.10009765625
